mean,scale,var
0.249818084297493,0.144334587040505,0.020832473016153
-0.008743550051344,0.706454877508379,0.499078493955378
0.004926095141225,0.707686929089127,0.500820789603599
0.014680919302787,0.029890352282641,0.000893433159580
0.014751076865218,0.030341546936891,0.000920609470524
-0.001735770248725,0.710220168015749,0.504412687056318
0.001067850587512,0.703976675550282,0.495583159718827
-0.000280372996104,0.574085792752460,0.329574497440220
0.788756966272900,0.219745016126435,0.048287872112407
-0.000989567543530,0.707820314675154,0.501009597866834
0.000042767286281,0.706391832539685,0.498989421078775
-0.000019031223160,0.575100194308292,0.330740233493435
0.787737010322996,0.220749108004891,0.048730168684955
2.664010440735844,1.494201505923965,2.232638140305445
0.039623186124933,0.093909114255054,0.008818921740169
0.141606605556418,0.064245500771319,0.004127484369358
