mean,scale,var
0.247360839058129,0.143906595254491,0.020709108157740
-0.056159955848887,0.705799417181247,0.498152817293387
0.027513768516957,0.705645969493157,0.497936234261937
0.024404477581851,0.045257777485483,0.002048266422926
0.024678772545726,0.046483963084781,0.002160758824067
-0.001927263689325,0.707276251885680,0.500239696481456
-0.001720582708713,0.706932548944344,0.499753628756948
0.000496557433027,0.576867571376408,0.332776194905715
0.786366552348710,0.221023084521677,0.048851203891476
-0.000199877416932,0.703627980542463,0.495092335002265
0.000515817966839,0.710568335194538,0.504907358981137
-0.000025733883202,0.595590028325414,0.354727481840668
0.769139162168968,0.231727138424528,0.053697466682421
2.201638484846066,1.425766665883187,2.032810585543659
0.041109638943483,0.088584320191350,0.007847181783764
0.137466808930952,0.063625760185485,0.004048237359181
